Chart_ID,Notation,Value
25,XM,1
26,JA,1
26,FS,1
26,XM,1
26,BU,1
28,DS,1
28,DT,1
29,DS,1
30,SS,1
30,DS,1
30,XO,1
30,FS,1
34,FS,1
35,DS,1
35,DT,1
35,JA,1
38,XM,1
39,XM,1
40,XO,1
40,BR,1
40,FS,1
40,DS,1
40,BU,1
40,XM,1
48,DS,1
48,JU,1
48,JA,1
48,XO,1
49,XO,1
49,DS,1
49,JU,1
49,JA,1
49,BU,1
50,FS,1
50,XO,1
50,BT,1
50,BU,1
50,JA,1
50,BR,1
50,DS,1
50,SJ,1
53,XO,1
53,JA,1
53,RH,1
54,XO,1
54,FS,1
54,RH,1
55,MA,1
56,FS,1
57,MA,1
58,BU,1
58,FS,1
61,FS,1
61,XO,1
62,XO,1
62,BU,1
62,FS,1
64,FS,1
64,SS,1
64,BR,1
64,XO,1
65,XO,1
65,BR,1
65,FS,1
66,BR,1
66,XO,1
66,FS,1
69,FS,1
69,XO,1
69,DS,1
69,BT,1
71,FS,1
72,DS,1
72,FS,1
72,BR,1
72,SS,1
74,FS,1
75,DS,1
75,FS,1
75,BR,1
76,BR,1
76,FS,1
80,DS,1
80,RH,1
81,BR,1
81,RH,1
81,MA,1
81,BU,1
81,KS,1
81,FS,1
81,DS,1
81,XO,1
84,FS,1
84,BR,1
84,DS,1
85,FS,1
85,SS,1
85,DS,1
85,XO,1
85,BR,1
85,KS,1
85,BU,1
87,XO,1
88,XO,1
88,DS,1
89,XO,1
89,DS,1
89,SJ,1
89,XM,1
90,BT,1
90,FL,1
90,XM,1
90,JU,1
90,FS,1
90,XO,1
90,DS,1
91,XM,1
92,XM,1
92,RH,1
93,XM,1
93,SJ,1
93,RH,1
94,JU,1
94,DS,1
94,XO,1
94,XM,1
95,XO,1
95,DS,1
95,HS,1
95,XM,1
95,FS,1
98,XM,1
98,XO,1
99,XO,1
99,DS,1
99,XM,1
100,FS,1
100,SS,1
100,BT,1
100,XO,1
100,DS,1
100,XM,1
101,SJ,1
101,BU,1
101,FS,1
108,JU,1
109,JU,1
109,BR,1
109,KS,1
109,FS,1
111,RH,1
112,RH,1
112,BR,1
112,XO,1
113,XO,1
