Chart_ID;Song_Title;Song_Subtitle;Song_Artist;Song_Length;MIN_BPM;MAX_BPM;Technical_Notation;Difficulty_Name;Difficulty_Rating;Step_Artist;Pack;Type
1;Ah Shwe Bah; ;Dr. Lefty;00:04:03;214,00;214,00;;Challenge;18;@@;$$ MONEY MiNiPACK $$;single
2;Amen Babylon; ;Shitmat;00:05:49;181,00;181,00;;Challenge;16;@@;$$ MONEY MiNiPACK $$;single
3;Can't Stop Raving;"12"" Mix";Dune;00:05:10;163,62;163,62;;Challenge;15;@@;$$ MONEY MiNiPACK $$;single
4;Citi Gurls; ;Jensen Interceptor;00:05:59;150,00;150,00;;Challenge;14;@@;$$ MONEY MiNiPACK $$;single
5;FUNKED OUT; ;RAW TAKES;00:22:34;150,00;150,00;;Challenge;16;@@;$$ MONEY MiNiPACK $$;single
6;Ghost;FootMerc Remix;Machine Girl;00:02:40;160,00;160,00;;Challenge;12;@@;$$ MONEY MiNiPACK $$;single
7;GUCCI DONK; ;Shere Kahnn;00:02:09;160,00;160,00;;Challenge;13;@@;$$ MONEY MiNiPACK $$;single
8;IT'S A SMALL WORLD;Ducking Hardcore MIX;TOMOSUKE;00:01:37;183,05;183,05;;Challenge;14;@@;$$ MONEY MiNiPACK $$;single
9;IT'S A SMALL WORLD;Ducking Hardcore MIX;TOMOSUKE;00:01:37;183,05;183,05;;Hard;12;@@;$$ MONEY MiNiPACK $$;single
10;It's Carl Wheezer!; ;Carl Wheezer;00:01:43;140,00;140,00;;Challenge;12;@@;$$ MONEY MiNiPACK $$;single
11;Junglist; ;FFF;00:03:36;204,16;204,16;;Challenge;17;@@;$$ MONEY MiNiPACK $$;single
12;P.I.M.P.;Bennie Bootleg;50 Cent;00:04:28;175,00;175,00;;Challenge;15;@@;$$ MONEY MiNiPACK $$;single
13;Slammin' Ragga Bootleg Track; ;Kid606;00:05:35;204,00;204,00;;Challenge;18;@@;$$ MONEY MiNiPACK $$;single
14;Unwritten;DJ Keyliac's Sausage Mix;Natasha Bedingfield;00:04:40;200,00;200,00;;Challenge;18;@@;$$ MONEY MiNiPACK $$;single
15;Unwritten;DJ Keyliac's Sausage Mix;Natasha Bedingfield;00:04:40;200,00;200,00;;Hard;17;@@;$$ MONEY MiNiPACK $$;single
16;Y2KMIX; ;CASSHISS;00:21:20;160,00;160,00;;Challenge;16;@@;$$ MONEY MiNiPACK $$;single
17;YTHLQMDLG; ;Cardopusher;00:04:07;171,00;171,00;;Challenge;16;@@;$$ MONEY MiNiPACK $$;single
18;1UL; ;Danny L Harle;00:02:15;123,00;123,00;;Beginner;3;StarrySergal;15gays1pack;single
19;1UL; ;Danny L Harle;00:02:15;123,00;123,00;;Easy;6;StarrySergal;15gays1pack;single
20;1UL; ;Danny L Harle;00:02:15;123,00;123,00;;Medium;8;StarrySergal;15gays1pack;single
21;1UL; ;Danny L Harle;00:02:15;123,00;123,00;;Hard;9;StarrySergal;15gays1pack;single
22;1UL; ;Danny L Harle;00:02:15;123,00;123,00;;Challenge;10;StarrySergal;15gays1pack;single
23;1UL; ;Danny L Harle;00:02:15;123,00;123,00;;Edit;10;StarrySergal;15gays1pack;single
24;ACTIVATE; ;COBRAH;00:02:08;92,00;92,00;;Medium;5;valgrind;15gays1pack;single
25;ACTIVATE; ;COBRAH;00:02:08;92,00;92,00;XM;Hard;8;valgrind;15gays1pack;single
26;ACTIVATE; ;COBRAH;00:02:08;92,00;92,00;XM FS BU JA;Challenge;9;valgrind;15gays1pack;single
27;ă‚˘ă‹ăžă«;covered by hiTora;DECO*27;00:02:30;188,00;188,00;;Easy;3;DRILLBOT;15gays1pack;single
28;ă‚˘ă‹ăžă«;covered by hiTora;DECO*27;00:02:30;188,00;188,00;DS DT;Medium;6;DRILLBOT;15gays1pack;single
29;ă‚˘ă‹ăžă«;covered by hiTora;DECO*27;00:02:30;188,00;188,00;DS;Hard;8;DRILLBOT;15gays1pack;single
30;ă‚˘ă‹ăžă«;covered by hiTora;DECO*27;00:02:30;188,00;188,00;XO DS FS SS;Challenge;9;DRILLBOT;15gays1pack;single
31;BIZCOCHITO; ;ROSALIA;00:01:49;117,00;117,00;;Beginner;4;StarrySergal;15gays1pack;single
32;BIZCOCHITO; ;ROSALIA;00:01:49;117,00;117,00;;Easy;6;StarrySergal;15gays1pack;single
33;BIZCOCHITO; ;ROSALIA;00:01:49;117,00;117,00;;Medium;8;StarrySergal;15gays1pack;single
34;BIZCOCHITO; ;ROSALIA;00:01:49;117,00;117,00;FS;Hard;10;StarrySergal;15gays1pack;single
35;BIZCOCHITO; ;ROSALIA;00:01:49;117,00;117,00;DT DS JA;Challenge;10;DRILLBOT;15gays1pack;single
36;Black Country Disco; ;Tom Aspaul ;00:01:53;112,00;112,00;;Beginner;1;ruunix2;15gays1pack;single
37;Black Country Disco; ;Tom Aspaul ;00:01:53;112,00;112,00;;Easy;3;ruunix2;15gays1pack;single
38;Black Country Disco; ;Tom Aspaul ;00:01:53;112,00;112,00;XM;Medium;6;ruunix2;15gays1pack;single
39;Black Country Disco; ;Tom Aspaul ;00:01:53;112,00;112,00;XM;Hard;8;ruunix2;15gays1pack;single
40;Black Country Disco; ;Tom Aspaul ;00:01:53;112,00;112,00;FS BR XO DS BU XM;Challenge;10;ruunix2;15gays1pack;single
41;BREACH PROTOCOL; ;Kurorak;00:02:35;165,00;165,00;;Easy;7;Daikyi;15gays1pack;single
42;BREACH PROTOCOL; ;Kurorak;00:02:35;165,00;165,00;;Medium;11;Daikyi;15gays1pack;single
43;BREACH PROTOCOL; ;Kurorak;00:02:35;165,00;165,00;;Hard;13;Daikyi;15gays1pack;single
44;BREACH PROTOCOL; ;Kurorak;00:02:35;165,00;165,00;;Challenge;14;Daikyi;15gays1pack;single
45;BREACH PROTOCOL; ;Kurorak;00:02:35;165,00;165,00;;Edit;16;Daikyi;15gays1pack;single
46;BULLSHITTIN; ;Sample Bandit;00:02:27;98,00;98,00;;Beginner;1;ruunix2;15gays1pack;single
47;BULLSHITTIN; ;Sample Bandit;00:02:27;98,00;98,00;;Easy;3;ruunix2;15gays1pack;single
48;BULLSHITTIN; ;Sample Bandit;00:02:27;98,00;98,00;JA DS JU XO;Medium;5;ruunix2;15gays1pack;single
49;BULLSHITTIN; ;Sample Bandit;00:02:27;98,00;98,00;JA DS XO JU BU;Hard;9;ruunix2;15gays1pack;single
50;BULLSHITTIN; ;Sample Bandit;00:02:27;98,00;98,00;JA DS BU BR SJ XO FS BT;Challenge;11;ruunix2;15gays1pack;single
51;CHARGER; ;ELIO, Charli XCX;00:02:10;114,00;114,00;NoTech;Easy;1;Vv;15gays1pack;single
52;CHARGER; ;ELIO, Charli XCX;00:02:10;114,00;114,00;NoTech;Medium;3;Vv;15gays1pack;single
53;CHARGER; ;ELIO, Charli XCX;00:02:10;114,00;114,00;RH JA XO;Hard;8;Vv;15gays1pack;single
54;CHARGER; ;ELIO, Charli XCX;00:02:10;114,00;114,00;XO RH FS;Challenge;10;Vv;15gays1pack;single
55;Child Protective Services Theme; ;Nero's Day At Disneyland;00:01:45;166,00;166,00;MA;Easy;5;DRILLBOT;15gays1pack;single
56;Child Protective Services Theme; ;Nero's Day At Disneyland;00:01:45;166,00;166,00;FS;Medium;8;DRILLBOT;15gays1pack;single
57;Child Protective Services Theme; ;Nero's Day At Disneyland;00:01:45;166,00;166,00;MA;Hard;9;DRILLBOT;15gays1pack;single
58;Child Protective Services Theme; ;Nero's Day At Disneyland;00:01:45;166,00;166,00;FS BU;Challenge;12;StarrySergal;15gays1pack;single
59;claws; ;Charli XCX;00:01:57;135,00;135,00;NoTech;Easy;1;Vv;15gays1pack;single
60;claws; ;Charli XCX;00:01:57;135,00;135,00;NoTech;Medium;7;Vv;15gays1pack;single
61;claws; ;Charli XCX;00:01:57;135,00;135,00;FS XO;Hard;9;Vv;15gays1pack;single
62;claws; ;Charli XCX;00:01:57;135,00;135,00;BU XO FS;Challenge;13;Vv;15gays1pack;single
63;C'Mon; ;Ke$ha;00:02:19;126,00;126,00;NoTech;Easy;1;Vv;15gays1pack;single
64;C'Mon; ;Ke$ha;00:02:19;126,00;126,00;BR XO FS SS;Medium;8;Vv;15gays1pack;single
65;C'Mon; ;Ke$ha;00:02:19;126,00;126,00;BR XO FS XOBR;Hard;11;Vv;15gays1pack;single
66;C'Mon; ;Ke$ha;00:02:19;126,00;126,00;BR XO FS XOBR;Challenge;12;Vv;15gays1pack;single
67;CYBERPET; ;spanish nxc;00:02:07;160,96;160,96;;Medium;8;StarrySergal;15gays1pack;single
68;CYBERPET; ;spanish nxc;00:02:07;160,96;160,96;;Hard;9;DRILLBOT;15gays1pack;single
69;CYBERPET; ;spanish nxc;00:02:07;160,96;160,96;XO DS FS BT;Challenge;11;StarrySergal;15gays1pack;single
70;Daddy; ;sega bodega;00:02:13;141,00;141,00;;Medium;9;valgrind;15gays1pack;single
