Chart_ID|Song_Title|Song_Subtitle|Song_Artist|Song_Length|Song_BPM|Technical_Notation|Difficulty_Name|Difficulty_Rating|Step_Artist|Pack|Type
1|BACK UP| |ctrl+r with HEDDIE|125|133,00| |Beginner|1|ranatalus|Club Fantastic Season 1|single
2|BACK UP| |ctrl+r with HEDDIE|125|133,00| |Easy|3|ranatalus|Club Fantastic Season 1|single
3|BACK UP| |ctrl+r with HEDDIE|125|133,00| |Medium|6|ranatalus|Club Fantastic Season 1|single
4|BACK UP| |ctrl+r with HEDDIE|125|133,00| |Hard|8|ranatalus|Club Fantastic Season 1|single
5|BACK UP| |ctrl+r with HEDDIE|125|133,00| |Challenge|9|ranatalus|Club Fantastic Season 1|single
6|BACK UP| |ctrl+r with HEDDIE|125|133,00| |Challenge|9|ranatalus|Club Fantastic Season 1|double
7|BOSSY| |BABYPOWDER|119|101,00| |Beginner|1|freyja|Club Fantastic Season 1|single
8|BOSSY| |BABYPOWDER|119|101,00| |Easy|4|freyja|Club Fantastic Season 1|single
9|BOSSY| |BABYPOWDER|119|101,00| |Medium|6|freyja|Club Fantastic Season 1|single
10|BOSSY| |BABYPOWDER|119|101,00| |Hard|9|freyja|Club Fantastic Season 1|single
11|BOSSY| |BABYPOWDER|119|101,00| |Challenge|10|freyja|Club Fantastic Season 1|single
12|BOSSY| |BABYPOWDER|119|101,00| |Challenge|10|Telperion|Club Fantastic Season 1|double
13|Can't You Bounce!?| |team BOUNCE|131|195,00| |Beginner|3|dimo|Club Fantastic Season 1|single
14|Can't You Bounce!?| |team BOUNCE|131|195,00| |Easy|5|dimo|Club Fantastic Season 1|single
15|Can't You Bounce!?| |team BOUNCE|131|195,00| |Medium|9|dimo|Club Fantastic Season 1|single
16|Can't You Bounce!?| |team BOUNCE|131|195,00| |Hard|11|dimo|Club Fantastic Season 1|single
17|Can't You Bounce!?| |team BOUNCE|131|195,00| |Challenge|12|Telperion|Club Fantastic Season 1|single
18|Can't You Bounce!?| |team BOUNCE|131|195,00| |Challenge|12|Sudzi781|Club Fantastic Season 1|double
19|COOL_EXCEPTION| |Frums|133|191,00| |Challenge|14|ITGAlex|Club Fantastic Season 1|single
20|COOL_EXCEPTION| |Frums|133|191,00| |Hard|12|ITGAlex|Club Fantastic Season 1|single
21|COOL_EXCEPTION| |Frums|133|191,00| |Medium|9|ITGAlex|Club Fantastic Season 1|single
22|COOL_EXCEPTION| |Frums|133|191,00| |Easy|7|ITGAlex|Club Fantastic Season 1|single
23|COOL_EXCEPTION| |Frums|133|191,00| |Beginner|3|ITGAlex|Club Fantastic Season 1|single
24|COOL_EXCEPTION| |Frums|133|191,00| |Challenge|14|ITGAlex|Club Fantastic Season 1|double
25|Dysangel| |T2KAZUYA|99|170,00| |Challenge|13|Valex|Club Fantastic Season 1|single
26|Dysangel| |T2KAZUYA|99|170,00| |Easy|5|Valex|Club Fantastic Season 1|single
27|Dysangel| |T2KAZUYA|99|170,00| |Hard|11|Valex|Club Fantastic Season 1|single
28|Dysangel| |T2KAZUYA|99|170,00| |Medium|8|Valex|Club Fantastic Season 1|single
29|Dysangel| |T2KAZUYA|99|170,00| |Beginner|2|Valex|Club Fantastic Season 1|single
30|Dysangel| |T2KAZUYA|99|170,00| |Challenge|13|T.Swag|Club Fantastic Season 1|double
31|Fantastic World| |Quad Star System|106|128,00|XO FS SJ 24ths 32nds|Challenge|10|Benpai|Club Fantastic Season 1|single
32|Fantastic World| |Quad Star System|106|128,00| |Hard|8|Benpai|Club Fantastic Season 1|single
33|Fantastic World| |Quad Star System|106|128,00| |Medium|5|Benpai|Club Fantastic Season 1|single
34|Fantastic World| |Quad Star System|106|128,00| |Easy|2|Benpai|Club Fantastic Season 1|single
35|Fantastic World| |Quad Star System|106|128,00| |Beginner|1|Benpai|Club Fantastic Season 1|single
36|Fantastic World| |Quad Star System|106|128,00| |Challenge|10|ITGAlex|Club Fantastic Season 1|double
37|Horsepower| |Verve|124|150,00| |Beginner|2|dimo|Club Fantastic Season 1|single
38|Horsepower| |Verve|124|150,00| |Easy|4|dimo|Club Fantastic Season 1|single
39|Horsepower| |Verve|124|150,00| |Medium|7|dimo|Club Fantastic Season 1|single
40|Horsepower| |Verve|124|150,00| |Hard|9|dimo|Club Fantastic Season 1|single
41|Horsepower| |Verve|124|150,00| |Challenge|10|Telperion|Club Fantastic Season 1|single
42|Horsepower| |Verve|124|150,00| |Challenge|10|-74-|Club Fantastic Season 1|double
43|Melody Mountain| |Ohayo Rivers|130|210,00| |Challenge|11|Ben Madsen|Club Fantastic Season 1|single
44|Melody Mountain| |Ohayo Rivers|130|210,00| |Hard|9|Ben Madsen|Club Fantastic Season 1|single
45|Melody Mountain| |Ohayo Rivers|130|210,00| |Medium|7|Ben Madsen|Club Fantastic Season 1|single
46|Melody Mountain| |Ohayo Rivers|130|210,00| |Easy|4|Ben Madsen|Club Fantastic Season 1|single
47|Melody Mountain| |Ohayo Rivers|130|210,00| |Beginner|1|Ben Madsen|Club Fantastic Season 1|single
48|Melody Mountain| |Ohayo Rivers|130|210,00| |Challenge|11|-74-|Club Fantastic Season 1|double
49|Oceania 909| |xaimus|261|138,00| |Beginner|8|Rems|Club Fantastic Season 1|single
50|Oceania 909| |xaimus|261|138,00|Rems (no stream)|Easy|9|Rems|Club Fantastic Season 1|single
51|Oceania 909| |xaimus|261|138,00|Rems 2-2-2-2/8|Medium|10|Rems|Club Fantastic Season 1|single
52|Oceania 909| |xaimus|261|138,00|Rems 8/16/16|Hard|11|Rems|Club Fantastic Season 1|single
53|Oceania 909| |xaimus|261|138,00|Rems 17/32/3-32|Challenge|12|Rems|Club Fantastic Season 1|single
54|Oceania 909| |xaimus|261|138,00| |Challenge|12|T. Swag|Club Fantastic Season 1|double
55|Roadman| |MegaSphere|128|150,00| |Beginner|1|Chief Skittles|Club Fantastic Season 1|single
56|Roadman| |MegaSphere|128|150,00| |Easy|4|Chief Skittles|Club Fantastic Season 1|single
57|Roadman| |MegaSphere|128|150,00| |Medium|7|Chief Skittles|Club Fantastic Season 1|single
58|Roadman| |MegaSphere|128|150,00| |Hard|9|Chief Skittles|Club Fantastic Season 1|single
59|Roadman| |MegaSphere|128|150,00| |Challenge|11|Chief Skittles|Club Fantastic Season 1|single
60|Roadman| |MegaSphere|128|150,00| |Challenge|11|ITGAlex|Club Fantastic Season 1|double
61|Shoes|(Club Fantastic Edit)|Tee Lopes|111|117,00| |Challenge|10|Snooze|Club Fantastic Season 1|single
62|Shoes|(Club Fantastic Edit)|Tee Lopes|111|117,00| |Hard|9|Snooze|Club Fantastic Season 1|single
63|Shoes|(Club Fantastic Edit)|Tee Lopes|111|117,00| |Medium|6|Snooze|Club Fantastic Season 1|single
64|Shoes|(Club Fantastic Edit)|Tee Lopes|111|117,00| |Easy|3|Snooze|Club Fantastic Season 1|single
65|Shoes|(Club Fantastic Edit)|Tee Lopes|111|117,00| |Beginner|1|Snooze|Club Fantastic Season 1|single
66|Shoes|(Club Fantastic Edit)|Tee Lopes|111|117,00| |Challenge|10|Telperion|Club Fantastic Season 1|double
67|Six Million| |Verve|135|150,00| |Beginner|2|dimo|Club Fantastic Season 1|single
68|Six Million| |Verve|135|150,00| |Easy|4|dimo|Club Fantastic Season 1|single
69|Six Million| |Verve|135|150,00| |Medium|8|dimo|Club Fantastic Season 1|single
70|Six Million| |Verve|135|150,00| |Hard|11|dimo|Club Fantastic Season 1|single
71|Six Million| |Verve|135|150,00|FS+++ BR 20ths|Challenge|13|dimo|Club Fantastic Season 1|single
72|Six Million| |Verve|135|150,00| |Challenge|13|Valex|Club Fantastic Season 1|double
73|Wandering (VIP)| |A_Rival|135|174,00| |Challenge|10|ITGAlex|Club Fantastic Season 1|single
74|Wandering (VIP)| |A_Rival|135|174,00| |Hard|8|ITGAlex|Club Fantastic Season 1|single
75|Wandering (VIP)| |A_Rival|135|174,00| |Medium|6|ITGAlex|Club Fantastic Season 1|single
76|Wandering (VIP)| |A_Rival|135|174,00| |Easy|4|ITGAlex|Club Fantastic Season 1|single
77|Wandering (VIP)| |A_Rival|135|174,00| |Beginner|1|ITGAlex|Club Fantastic Season 1|single
78|Wandering (VIP)| |A_Rival|135|174,00| |Challenge|11|ITGAlex|Club Fantastic Season 1|double
79|Y.E.A.H.| |ÆSC|128|150,00| |Beginner|2|Feraligatr|Club Fantastic Season 1|single
80|Y.E.A.H.| |ÆSC|128|150,00| |Easy|5|Feraligatr|Club Fantastic Season 1|single
81|Y.E.A.H.| |ÆSC|128|150,00| |Medium|8|Feraligatr|Club Fantastic Season 1|single
82|Y.E.A.H.| |ÆSC|128|150,00| |Hard|10|Feraligatr|Club Fantastic Season 1|single
83|Y.E.A.H.| |ÆSC|128|150,00| |Challenge|11|Feraligatr|Club Fantastic Season 1|single
84|Y.E.A.H.| |ÆSC|128|150,00| |Challenge|12|Telperion|Club Fantastic Season 1|double
85|Adore| |Rhythmics|152|180,00| |Beginner|4|bluechows|Club Fantastic Season 2|single
86|Adore| |Rhythmics|152|180,00| |Easy|7|bluechows|Club Fantastic Season 2|single
87|Adore| |Rhythmics|152|180,00| |Medium|9|bluechows|Club Fantastic Season 2|single
88|Adore| |Rhythmics|152|180,00| |Hard|11|drun & bkirz|Club Fantastic Season 2|single
89|Adore| |Rhythmics|152|180,00| |Challenge|13|drun & bkirz|Club Fantastic Season 2|single
90|Adore| |Rhythmics|152|180,00| |Challenge|12|WinDEU|Club Fantastic Season 2|double
91|Artifacts| |Adrian Alexander|356|138,00| |Beginner|9|Rems|Club Fantastic Season 2|single
92|Artifacts| |Adrian Alexander|356|138,00| |Easy|10|Rems|Club Fantastic Season 2|single
93|Artifacts| |Adrian Alexander|356|138,00| |Medium|11|Rems 1414|Club Fantastic Season 2|single
94|Artifacts| |Adrian Alexander|356|138,00| |Hard|12|Rems 36*/14/14/16|Club Fantastic Season 2|single
95|Artifacts| |Adrian Alexander|356|138,00| |Challenge|13|Rems 64*/38*/40*|Club Fantastic Season 2|single
96|Artifacts| |Adrian Alexander|356|138,00|T. Swag  (64*46*/*40*)|Challenge|13|T. Swag|Club Fantastic Season 2|double
97|Artifacts| |Adrian Alexander|356|138,00|T. Swag  (48*34*/17)|Hard|12|T. Swag|Club Fantastic Season 2|double
98|Artifacts| |Adrian Alexander|356|138,00|T. Swag  (4/*1614)|Medium|11|T. Swag|Club Fantastic Season 2|double
99|Artifacts| |Adrian Alexander|356|138,00| |Easy|10|T. Swag|Club Fantastic Season 2|double
100|Beachside Photoshoot| |Snooze|133|140,00| |Medium|6|Snooze|Club Fantastic Season 2|single
101|Beachside Photoshoot| |Snooze|133|140,00| |Hard|9|Snooze|Club Fantastic Season 2|single
102|Beachside Photoshoot| |Snooze|133|140,00| |Challenge|12|Snooze|Club Fantastic Season 2|single
103|Beachside Photoshoot| |Snooze|133|140,00| |Easy|3|warpdrive|Club Fantastic Season 2|double
104|Beachside Photoshoot| |Snooze|133|140,00| |Medium|5|warpdrive|Club Fantastic Season 2|double
105|Beachside Photoshoot| |Snooze|133|140,00| |Hard|9|warpdrive|Club Fantastic Season 2|double
106|Beachside Photoshoot| |Snooze|133|140,00| |Challenge|12|ITGAlex|Club Fantastic Season 2|double
107|Beachside Photoshoot| |Snooze|133|140,00| |Easy|5|ranatalus|Club Fantastic Season 2|single
108|Beachside Photoshoot| |Snooze|133|140,00| |Beginner|3|ranatalus|Club Fantastic Season 2|single
109|BOSSY|(Jorts Speedy Mix)|BABYPOWDER|130|131,00| |Challenge|12|Valex|Club Fantastic Season 2|single
110|BOSSY|(Jorts Speedy Mix)|BABYPOWDER|130|131,00| |Hard|9|Valex|Club Fantastic Season 2|single
111|BOSSY|(Jorts Speedy Mix)|BABYPOWDER|130|131,00| |Medium|6|Valex|Club Fantastic Season 2|single
112|BOSSY|(Jorts Speedy Mix)|BABYPOWDER|130|131,00| |Easy|3|Valex|Club Fantastic Season 2|single
113|BOSSY|(Jorts Speedy Mix)|BABYPOWDER|130|131,00| |Beginner|1|Valex|Club Fantastic Season 2|single
114|BOSSY|(Jorts Speedy Mix)|BABYPOWDER|130|131,00| |Challenge|12|WinDEU|Club Fantastic Season 2|double
115|BOSSY|(Jorts Speedy Mix)|BABYPOWDER|130|131,00| |Hard|10|WinDEU|Club Fantastic Season 2|double
116|BOSSY|(Jorts Speedy Mix)|BABYPOWDER|130|131,00| |Medium|7|WinDEU|Club Fantastic Season 2|double
117|BOSSY|(Jorts Speedy Mix)|BABYPOWDER|130|131,00| |Easy|4|WinDEU|Club Fantastic Season 2|double
118|demonstration protocol| |MachineAge|125|130,00| |Hard|10|Telperion|Club Fantastic Season 2|single
119|demonstration protocol| |MachineAge|125|130,00| |Challenge|12|-74-|Club Fantastic Season 2|single
120|demonstration protocol| |MachineAge|125|130,00| |Challenge|12|WinDEU|Club Fantastic Season 2|double
121|demonstration protocol| |MachineAge|125|130,00| |Hard|10|WinDEU|Club Fantastic Season 2|double
122|demonstration protocol| |MachineAge|125|130,00| |Medium|7|WinDEU|Club Fantastic Season 2|double
123|demonstration protocol| |MachineAge|125|130,00| |Easy|4|WinDEU|Club Fantastic Season 2|double
124|demonstration protocol| |MachineAge|125|130,00| |Medium|6|ranatalus|Club Fantastic Season 2|single
125|demonstration protocol| |MachineAge|125|130,00| |Easy|4|ranatalus|Club Fantastic Season 2|single
126|demonstration protocol| |MachineAge|125|130,00| |Beginner|1|ranatalus|Club Fantastic Season 2|single
127|DNA| |Voia feat. Slyleaf|126|126,00| |Challenge|10|CopperPuppy|Club Fantastic Season 2|single
128|DNA| |Voia feat. Slyleaf|126|126,00| |Hard|7|CopperPuppy|Club Fantastic Season 2|single
129|DNA| |Voia feat. Slyleaf|126|126,00| |Medium|5|CopperPuppy|Club Fantastic Season 2|single
130|DNA| |Voia feat. Slyleaf|126|126,00| |Easy|3|CopperPuppy|Club Fantastic Season 2|single
131|DNA| |Voia feat. Slyleaf|126|126,00| |Beginner|1|CopperPuppy|Club Fantastic Season 2|single
132|DNA| |Voia feat. Slyleaf|126|126,00| |Challenge|10|telpatalus|Club Fantastic Season 2|double
133|Oceania 909|(T2KAZUYA Remix)|xaimus|124|170,00| |Challenge|11|ITGAlex|Club Fantastic Season 2|single
134|Oceania 909|(T2KAZUYA Remix)|xaimus|124|170,00| |Hard|9|ITGAlex|Club Fantastic Season 2|single
135|Oceania 909|(T2KAZUYA Remix)|xaimus|124|170,00| |Medium|6|ITGAlex|Club Fantastic Season 2|single
136|Oceania 909|(T2KAZUYA Remix)|xaimus|124|170,00| |Easy|3|ITGAlex|Club Fantastic Season 2|single
137|Oceania 909|(T2KAZUYA Remix)|xaimus|124|170,00| |Beginner|1|ITGAlex|Club Fantastic Season 2|single
138|Oceania 909|(T2KAZUYA Remix)|xaimus|124|170,00| |Challenge|11|ITGAlex|Club Fantastic Season 2|double
139|POT| |Tee Lopes & Dylan James|123|126,00| |Beginner|3|dimo|Club Fantastic Season 2|single
140|POT| |Tee Lopes & Dylan James|123|126,00| |Easy|5|dimo|Club Fantastic Season 2|single
141|POT| |Tee Lopes & Dylan James|123|126,00| |Medium|8|dimo|Club Fantastic Season 2|single
142|POT| |Tee Lopes & Dylan James|123|126,00| |Hard|11|Telperion|Club Fantastic Season 2|single
143|POT| |Tee Lopes & Dylan James|123|126,00| |Challenge|12|dimo & ITGAlex|Club Fantastic Season 2|single
144|POT| |Tee Lopes & Dylan James|123|126,00| |Easy|3|warpdrive|Club Fantastic Season 2|double
145|POT| |Tee Lopes & Dylan James|123|126,00| |Medium|5|warpdrive|Club Fantastic Season 2|double
146|POT| |Tee Lopes & Dylan James|123|126,00| |Hard|7|warpdrive|Club Fantastic Season 2|double
147|POT| |Tee Lopes & Dylan James|123|126,00| |Challenge|11|Telperion|Club Fantastic Season 2|double
148|Save New Jersey| |Save New Jersey|134|160,00| |Beginner|4|dimo|Club Fantastic Season 2|single
149|Save New Jersey| |Save New Jersey|134|160,00| |Easy|6|dimo|Club Fantastic Season 2|single
150|Save New Jersey| |Save New Jersey|134|160,00| |Medium|8|ATB|Club Fantastic Season 2|single
151|Save New Jersey| |Save New Jersey|134|160,00| |Hard|10|ATB|Club Fantastic Season 2|single
152|Save New Jersey| |Save New Jersey|134|160,00| |Challenge|13|ATB|Club Fantastic Season 2|single
153|Save New Jersey| |Save New Jersey|134|160,00| |Easy|4|warpdrive|Club Fantastic Season 2|double
154|Save New Jersey| |Save New Jersey|134|160,00| |Medium|8|warpdrive|Club Fantastic Season 2|double
155|Save New Jersey| |Save New Jersey|134|160,00| |Hard|10|warpdrive|Club Fantastic Season 2|double
156|Save New Jersey| |Save New Jersey|134|160,00| |Challenge|12|-74-|Club Fantastic Season 2|double
157|Singularity| |Jorts|133|147,00| |Beginner|2|warpdrive|Club Fantastic Season 2|single
158|Singularity| |Jorts|133|147,00| |Easy|5|warpdrive|Club Fantastic Season 2|single
159|Singularity| |Jorts|133|147,00| |Medium|7|warpdrive|Club Fantastic Season 2|single
160|Singularity| |Jorts|133|147,00| |Hard|10|warpdrive|Club Fantastic Season 2|single
161|Singularity| |Jorts|133|147,00| |Challenge|13|warpdrive|Club Fantastic Season 2|single
162|Singularity| |Jorts|133|147,00| |Challenge|12|Telperion|Club Fantastic Season 2|double
163|SSS| |Maxo|129|180,00| |Challenge|12|Benpai|Club Fantastic Season 2|single
164|SSS| |Maxo|129|180,00| |Hard|11|Benpai|Club Fantastic Season 2|single
165|SSS| |Maxo|129|180,00| |Medium|7|LEISHEN.|Club Fantastic Season 2|single
166|SSS| |Maxo|129|180,00| |Easy|5|LEISHEN.|Club Fantastic Season 2|single
167|SSS| |Maxo|129|180,00| |Beginner|3|LEISHEN.|Club Fantastic Season 2|single
168|SSS| |Maxo|129|180,00| |Challenge|12|WinDEU|Club Fantastic Season 2|double
169|Step It| |Shirobon|131|174,00| |Challenge|12|Sudzi781|Club Fantastic Season 2|single
170|Step It| |Shirobon|131|174,00| |Challenge|12|bluechows|Club Fantastic Season 2|double
