Chart_ID|Amount_of_Notes|Amount_of_LongNotes|Amount_of_Rolls|Amount_of_Mines
1|175|0|0|0
2|160|14|0|0
3|226|28|0|0
4|377|27|0|0
5|496|33|0|0
6|457|28|0|0
7|155|15|0|4
8|311|44|1|13
9|353|40|33|13
10|530|43|24|13
11|570|49|29|11
12|509|46|6|64
13|162|54|0|0
14|227|24|0|0
15|433|57|0|0
16|625|48|2|28
17|699|45|0|42
18|694|58|4|21
19|929|88|2|24
20|719|66|7|20
21|494|57|0|2
22|350|20|0|0
23|130|17|0|0
24|770|89|3|0
25|817|15|1|38
26|206|32|0|0
27|483|26|0|23
28|337|15|2|0
29|104|0|0|0
30|797|16|1|4
31|527|33|2|8
32|329|36|4|0
33|172|28|1|0
34|109|10|0|0
35|57|0|0|0
36|449|61|1|2
37|112|42|1|0
38|179|42|1|0
39|313|57|7|0
40|453|40|6|0
41|601|28|2|0
42|585|15|2|0
43|660|100|0|12
44|509|88|0|0
45|407|44|0|0
46|254|33|0|0
47|99|18|0|0
48|625|20|6|48
49|499|84|1|0
50|747|82|0|0
51|1080|69|0|0
52|1186|75|0|0
53|1595|41|0|0
54|1750|24|0|0
55|92|0|0|0
56|248|18|0|0
57|390|7|0|0
58|566|6|0|0
59|757|14|0|0
60|633|72|0|13
61|429|49|0|20
62|256|51|1|4
63|197|23|0|0
64|89|34|0|6
65|24|6|0|0
66|477|13|0|32
67|149|39|0|28
68|187|36|1|28
69|382|75|20|17
70|600|82|17|21
71|617|89|17|24
72|586|149|0|13
73|488|93|4|8
74|352|72|0|0
75|238|55|0|0
76|112|43|0|0
77|54|20|0|0
78|463|82|0|0
79|104|8|0|0
80|215|34|0|0
81|352|69|3|0
82|502|73|8|0
83|695|78|2|18
84|759|47|0|2
85|137|19|0|0
86|196|54|0|13
87|392|73|3|0
88|758|70|4|0
89|915|80|1|0
90|968|2|2|24
91|1149|48|5|0
92|1440|49|5|0
93|1918|32|2|0
94|2313|22|0|0
95|2778|19|0|0
96|2833|3|0|1
97|2479|4|0|1
98|2212|20|2|1
99|1823|44|2|1
100|273|90|14|6
101|402|92|16|9
102|702|135|0|10
103|166|9|0|0
104|295|4|0|0
105|486|24|0|0
106|749|58|1|2
107|247|26|2|0
108|156|34|0|0
109|783|31|2|13
110|486|21|0|0
111|305|11|0|0
112|180|6|0|0
113|85|0|0|0
114|760|43|0|17
115|571|90|6|0
116|394|14|0|0
117|188|28|0|0
118|540|28|0|0
119|746|24|3|0
120|718|18|10|34
121|548|31|3|0
122|320|10|0|0
123|165|11|0|0
124|233|19|0|0
125|127|54|0|0
126|80|9|0|0
127|469|62|0|0
128|297|61|0|0
