Chart_ID;Song_Title;Song_Subtitle;Song_Artist;Song_Length;Song_BPM;Technical_Notation;Difficulty_Name;Difficulty_Rating;Step_Artist;Pack
1;777; ;RoughSketch;125;777.000000;No Tech;Beginner;3;AltVoid;Bass Tester EXTREME
2;777; ;RoughSketch;125;777.000000;No Tech;Easy;7;AltVoid;Bass Tester EXTREME
3;777; ;RoughSketch;125;777.000000;XO FS;Medium;9;AltVoid;Bass Tester EXTREME
4;777; ;RoughSketch;125;777.000000;DR XO;Hard;11;AltVoid;Bass Tester EXTREME
5;777; ;RoughSketch;125;777.000000;FS JH-;Challenge;12;AltVoid;Bass Tester EXTREME
6;777; ;RoughSketch;125;777.000000;FS+ XO+ SS DR-;Edit;14;AltVoid;Bass Tester EXTREME
7;Angel; ;Geck-o;162;65.000000 - 149.850006;XM;Beginner;1;AltVoid;Bass Tester EXTREME
8;Angel; ;Geck-o;162;65.000000 - 149.850006;XM JH;Easy;4;AltVoid;Bass Tester EXTREME
9;Angel; ;Geck-o;162;65.000000 - 149.850006;XM JU;Medium;7;AltVoid;Bass Tester EXTREME
10;Angel; ;Geck-o;162;65.000000 - 149.850006;XM JH XO;Hard;9;AltVoid;Bass Tester EXTREME
11;Angel; ;Geck-o;162;65.000000 - 149.850006;XM BR+ MA JU XO;Challenge;12;AltVoid;Bass Tester EXTREME
12;Anima Libera;(remix);DJ Raaban;129;178.460007;No Tech;Beginner;3;neyoru;Bass Tester EXTREME
13;Anima Libera;(remix);DJ Raaban;129;178.460007;JU+;Easy;6;neyoru;Bass Tester EXTREME
14;Anima Libera;(remix);DJ Raaban;129;178.460007;BR+ FS+;Medium;9;neyoru;Bass Tester EXTREME
15;Anima Libera;(remix);DJ Raaban;129;178.460007;BR+ FS;Hard;11;neyoru;Bass Tester EXTREME
16;Anima Libera;(remix);DJ Raaban;129;178.460007;B+XF JU TR;Challenge;13;neyoru;Bass Tester EXTREME
17;Barka; ;XD Project;165;150.000000;No Tech;Beginner;1;Tidek;Bass Tester EXTREME
18;Barka; ;XD Project;165;150.000000;No Tech;Easy;2;Tidek;Bass Tester EXTREME
19;Barka; ;XD Project;165;150.000000;No Tech;Medium;4;Tidek;Bass Tester EXTREME
20;Barka; ;XD Project;165;150.000000;No Tech;Hard;7;Tidek;Bass Tester EXTREME
21;Barka; ;XD Project;165;150.000000;XO FS DS;Challenge;9;Tidek;Bass Tester EXTREME
22;Brutal; ;Loud Carnage;163;150.000000;No Tech;Beginner;2;Tidek;Bass Tester EXTREME
23;Brutal; ;Loud Carnage;163;150.000000;No Tech;Easy;5;Tidek;Bass Tester EXTREME
24;Brutal; ;Loud Carnage;163;150.000000;No Tech;Medium;7;Tidek;Bass Tester EXTREME
25;Brutal; ;Loud Carnage;163;150.000000;No Tech;Hard;9;Tidek;Bass Tester EXTREME
26;Brutal; ;Loud Carnage;163;150.000000;Broken STR;Challenge;11;Tidek;Bass Tester EXTREME
27;Close Your Eyes; ;Sunhiausa;198;180.000000;No Tech;Beginner;3;AltVoid;Bass Tester EXTREME
28;Close Your Eyes; ;Sunhiausa;198;180.000000;XO;Easy;6;AltVoid;Bass Tester EXTREME
29;Close Your Eyes; ;Sunhiausa;198;180.000000;JU;Medium;8;AltVoid;Bass Tester EXTREME
30;Close Your Eyes; ;Sunhiausa;198;180.000000;FS FL;Hard;10;AltVoid;Bass Tester EXTREME
31;Close Your Eyes; ;Sunhiausa;198;180.000000;DR+ BU XO DT-;Challenge;13;AltVoid;Bass Tester EXTREME
32;Cum Say Henlo; ;GPF x S3RL;138;200.000000;No Tech;Beginner;1;Tidek;Bass Tester EXTREME
33;Cum Say Henlo; ;GPF x S3RL;138;200.000000;No Tech;Easy;3;Tidek;Bass Tester EXTREME
34;Cum Say Henlo; ;GPF x S3RL;138;200.000000;No Tech;Medium;5;Tidek;Bass Tester EXTREME
35;Cum Say Henlo; ;GPF x S3RL;138;200.000000;JU;Hard;7;Tidek;Bass Tester EXTREME
36;Cum Say Henlo; ;GPF x S3RL;138;200.000000;XO JU;Challenge;9;Tidek;Bass Tester EXTREME
37;Desert Woman; ;DJIPE & Nagazaki;251;175.000;No Tech;Beginner;3;Tidek;Bass Tester EXTREME
38;Desert Woman; ;DJIPE & Nagazaki;251;175.000;No Tech;Easy;5;Tidek;Bass Tester EXTREME
39;Desert Woman; ;DJIPE & Nagazaki;251;175.000;XM DS;Medium;7;Tidek;Bass Tester EXTREME
40;Desert Woman; ;DJIPE & Nagazaki;251;175.000;XM XO FS;Hard;9;Tidek;Bass Tester EXTREME
41;Desert Woman; ;DJIPE & Nagazaki;251;175.000;XM B-XF DS RH SS JU;Challenge;12;Tidek;Bass Tester EXTREME
42;Doomsday; ;Deezl;177;155.000000;No Tech;Beginner;1;Tidek;Bass Tester EXTREME
43;Doomsday; ;Deezl;177;155.000000;No Tech;Easy;3;Tidek;Bass Tester EXTREME
44;Doomsday; ;Deezl;177;155.000000;No Tech;Medium;6;Tidek;Bass Tester EXTREME
45;Doomsday; ;Deezl;177;155.000000;JU;Hard;8;Tidek;Bass Tester EXTREME
46;Doomsday; ;Deezl;177;155.000000;BR JU XO-;Challenge;10;Tidek;Bass Tester EXTREME
47;Kokeen;(Angerzam Remix);Furyan;155;125.000000;No Tech;Beginner;1;Tidek;Bass Tester EXTREME
48;Kokeen;(Angerzam Remix);Furyan;155;125.000000;No Tech;Easy;4;Tidek;Bass Tester EXTREME
49;Kokeen;(Angerzam Remix);Furyan;155;125.000000;No Tech;Medium;6;Tidek;Bass Tester EXTREME
50;Kokeen;(Angerzam Remix);Furyan;155;125.000000;No Tech;Hard;8;Tidek;Bass Tester EXTREME
51;Kokeen;(Angerzam Remix);Furyan;155;125.000000;Broken STR;Challenge;11;Tidek;Bass Tester EXTREME
52;Overdose Party; ;Furyan & LSD;177;115.000000;No Tech;Beginner;1;AltVoid;Bass Tester EXTREME
53;Overdose Party; ;Furyan & LSD;177;115.000000;No Tech;Easy;4;AltVoid;Bass Tester EXTREME
54;Overdose Party; ;Furyan & LSD;177;115.000000;JA;Medium;7;AltVoid;Bass Tester EXTREME
55;Overdose Party; ;Furyan & LSD;177;115.000000;JU+ XO;Hard;10;AltVoid;Bass Tester EXTREME
56;Overdose Party; ;Furyan & LSD;177;115.000000;STR JU XO MA- DR- BR-;Challenge;11;Arki;Bass Tester EXTREME
57;Piratenfestijn; ;D'ort;207;50.000000 - 200.000000;XM;Beginner;1;Tidek;Bass Tester EXTREME
58;Piratenfestijn; ;D'ort;207;50.000000 - 200.000000;XM;Easy;3;Tidek;Bass Tester EXTREME
59;Piratenfestijn; ;D'ort;207;50.000000 - 200.000000;XM;Medium;5;Tidek;Bass Tester EXTREME
60;Piratenfestijn; ;D'ort;207;50.000000 - 200.000000;XM XO;Hard;7;Tidek;Bass Tester EXTREME
61;Piratenfestijn; ;D'ort;207;50.000000 - 200.000000;XM XO+ FS DT-;Challenge;10;Tidek;Bass Tester EXTREME
62;Right Now; ;The Purge x Sickmode;148;155.000000;No Tech;Beginner;1;Tidek;Bass Tester EXTREME
63;Right Now; ;The Purge x Sickmode;148;155.000000;No Tech;Easy;3;Tidek;Bass Tester EXTREME
64;Right Now; ;The Purge x Sickmode;148;155.000000;No Tech;Medium;5;Tidek;Bass Tester EXTREME
65;Right Now; ;The Purge x Sickmode;148;155.000000;No Tech;Hard;7;Tidek;Bass Tester EXTREME
66;Right Now; ;The Purge x Sickmode;148;155.000000;JU DS;Challenge;9;Tidek;Bass Tester EXTREME
67;Sick Cratic; ;MBK & NSD;163;125.000000;No Tech;Beginner;1;Tidek;Bass Tester EXTREME
68;Sick Cratic; ;MBK & NSD;163;125.000000;No Tech;Easy;4;Tidek;Bass Tester EXTREME
69;Sick Cratic; ;MBK & NSD;163;125.000000;No Tech;Medium;6;Tidek;Bass Tester EXTREME
70;Sick Cratic; ;MBK & NSD;163;125.000000;JH;Hard;8;Tidek;Bass Tester EXTREME
71;Sick Cratic; ;MBK & NSD;163;125.000000;JU+;Challenge;10;Tidek;Bass Tester EXTREME
72;Suavemente; ;Unicorn On Ketamine;181;120.000000;No Tech;Beginner;2;Tidek;Bass Tester EXTREME
73;Suavemente; ;Unicorn On Ketamine;181;120.000000;No Tech;Easy;5;Tidek;Bass Tester EXTREME
74;Suavemente; ;Unicorn On Ketamine;181;120.000000;JU;Medium;7;Tidek;Bass Tester EXTREME
75;Suavemente; ;Unicorn On Ketamine;181;120.000000;JU+;Hard;9;Tidek;Bass Tester EXTREME
76;Suavemente; ;Unicorn On Ketamine;181;120.000000;BU RH DT-;Challenge;11;Tidek;Bass Tester EXTREME
77;Symphony Op.1 -CHAOS-; ;Laur;214;1.000 - 500.000;XM;Beginner;2;AltVoid;Bass Tester EXTREME
78;Symphony Op.1 -CHAOS-; ;Laur;214;1.000 - 500.000;XM;Easy;6;AltVoid;Bass Tester EXTREME
79;Symphony Op.1 -CHAOS-; ;Laur;214;1.000 - 500.000;XM+ XO JH JU;Medium;8;AltVoid;Bass Tester EXTREME
80;Symphony Op.1 -CHAOS-; ;Laur;214;1.000 - 500.000;XM+ JU+ XO- TR;Hard;11;AltVoid;Bass Tester EXTREME
81;Symphony Op.1 -CHAOS-; ;Laur;214;1.000 - 500.000;XM+ BR+ JU DR TR;Challenge;13;AltVoid;Bass Tester EXTREME
82;The Cell; ;DRS vs MBK ft Madsin;185;150.000000;No Tech;Beginner;2;Tidek;Bass Tester EXTREME
83;The Cell; ;DRS vs MBK ft Madsin;185;150.000000;No Tech;Easy;5;Tidek;Bass Tester EXTREME
