Chart_ID|Amount_of_Notes|Amount_of_LongNotes|Amount_of_Rolls|Amount_of_Mines
1|155|15|0|4
2|311|44|1|13
3|353|40|33|13
4|530|43|24|13
5|570|49|29|11
6|509|46|6|64
7|125|13|0|0
8|253|17|0|0
9|417|50|0|17
10|564|82|0|15
11|970|34|5|67
12|140|17|0|0
13|310|39|1|2
14|686|58|3|34
15|1000|68|11|47
16|1341|70|4|57
17|131|2|0|0
18|294|39|0|0
19|525|31|0|0
20|629|33|0|47
21|1005|17|28|22
22|249|89|0|32
23|480|161|5|55
24|832|173|10|83
25|1349|179|12|101
26|1713|179|9|91
27|199|0|0|0
28|391|0|0|0
29|627|4|0|57
30|877|10|0|64
31|1103|0|0|43
32|307|75|24|0
33|738|82|4|41
34|966|76|4|89
35|1072|72|8|102
36|1148|64|1|124
37|428|67|0|0
38|368|101|2|0
39|72|0|1|0
40|138|0|0|0
41|261|14|1|1
42|348|46|3|0
43|137|0|0|0
44|261|15|1|1
45|347|47|1|0
